totalPopulation: 1000,numberOfPublicPlaces: 50,publicPlaceOccupancyRate: 0.9,seedPopulationPercentage: 0.05,indoorInfectionRate: 0.5
Day #,Category 0,Category 1,Category 2,Category 3,Category 4
0,952,49,0,0,0
1,952,49,0,0,0
2,952,46,3,0,0
3,952,38,11,0,0
4,952,36,13,0,0
5,952,31,17,1,0
6,952,31,16,2,0
7,952,29,16,4,0
8,952,29,14,6,0
9,952,27,17,5,0
10,952,34,11,3,1
11,952,38,9,1,1
12,952,43,4,1,1
13,951,48,0,1,1
14,951,48,1,0,1
15,950,50,0,0,1
16,950,49,1,0,1
17,950,50,0,0,1
18,950,50,0,0,1
19,950,50,0,0,1
20,950,50,0,0,1
21,950,50,0,0,1
22,950,50,0,0,1
23,950,50,0,0,1
24,950,50,0,0,1
25,950,50,0,0,1
26,950,50,0,0,1
27,950,50,0,0,1
28,950,50,0,0,1
29,950,50,0,0,1
30,950,50,0,0,1
31,950,50,0,0,1
32,950,50,0,0,1
33,950,50,0,0,1
34,950,50,0,0,1
35,950,50,0,0,1
36,950,50,0,0,1
37,950,50,0,0,1
38,950,50,0,0,1
39,950,50,0,0,1
40,950,50,0,0,1
41,950,50,0,0,1
42,950,50,0,0,1
43,950,50,0,0,1
44,950,50,0,0,1
45,950,50,0,0,1
46,950,50,0,0,1
47,950,50,0,0,1
48,950,50,0,0,1
49,950,50,0,0,1
50,950,50,0,0,1
