totalPopulation: 1000,numberOfPublicPlaces: 50,publicPlaceOccupancyRate: 0.7,seedPopulationPercentage: 0.05,indoorInfectionRate: 0.5
Day #,Category 0,Category 1,Category 2,Category 3,Category 4
0,949,51,0,0,0
1,949,51,0,0,0
2,949,48,3,0,0
3,949,39,12,0,0
4,949,37,14,0,0
5,948,33,18,1,0
6,948,32,18,2,0
7,948,29,19,4,0
8,948,28,18,5,1
9,947,31,14,6,2
10,947,34,11,5,3
11,947,37,8,4,4
12,947,41,6,2,4
13,947,47,1,1,4
14,947,48,0,1,4
15,945,50,0,1,4
16,945,50,0,1,4
17,945,50,0,1,4
18,945,50,0,1,4
19,945,50,0,1,4
20,945,50,0,1,4
21,945,50,0,1,4
22,945,50,0,1,4
23,945,50,0,1,4
24,945,50,0,1,4
25,945,50,0,1,4
26,945,50,0,1,4
27,945,50,0,1,4
28,945,50,0,1,4
29,945,50,0,1,4
30,945,50,0,1,4
31,945,50,0,1,4
32,945,50,0,1,4
33,945,50,0,1,4
34,945,50,0,1,4
35,945,50,0,1,4
36,945,50,0,1,4
37,945,50,0,1,4
38,945,50,0,1,4
39,945,50,0,1,4
40,945,50,0,1,4
41,945,50,0,1,4
42,945,50,0,1,4
43,945,50,0,1,4
44,945,50,0,1,4
45,945,50,0,1,4
46,945,50,0,1,4
47,945,50,0,1,4
48,945,50,0,1,4
49,945,50,0,1,4
50,945,50,0,1,4
