totalPopulation: 20,numberOfPublicPlaces: 200,publicPlaceOccupancyRate: 0.5,seedPopulationPercentage: 0.05,indoorInfectionRate: 0.5
Day #,Category 0,Category 1,Category 2,Category 3,Category 4
0,19,2,0,0,0
1,20,1,0,0,0
2,20,1,0,0,0
3,20,1,0,0,0
4,20,1,0,0,0
5,20,1,0,0,0
6,20,1,0,0,0
7,20,1,0,0,0
8,20,1,0,0,0
9,20,1,0,0,0
10,21,0,0,0,0
11,21,0,0,0,0
12,21,0,0,0,0
13,21,0,0,0,0
14,21,0,0,0,0
15,21,0,0,0,0
16,21,0,0,0,0
17,21,0,0,0,0
18,21,0,0,0,0
19,21,0,0,0,0
20,21,0,0,0,0
21,21,0,0,0,0
22,21,0,0,0,0
23,21,0,0,0,0
24,21,0,0,0,0
25,21,0,0,0,0
26,21,0,0,0,0
27,21,0,0,0,0
28,21,0,0,0,0
29,21,0,0,0,0
30,21,0,0,0,0
31,21,0,0,0,0
32,21,0,0,0,0
33,21,0,0,0,0
34,21,0,0,0,0
35,21,0,0,0,0
36,21,0,0,0,0
37,21,0,0,0,0
38,21,0,0,0,0
39,21,0,0,0,0
40,21,0,0,0,0
41,21,0,0,0,0
42,21,0,0,0,0
43,21,0,0,0,0
44,21,0,0,0,0
45,21,0,0,0,0
46,21,0,0,0,0
47,21,0,0,0,0
48,21,0,0,0,0
49,21,0,0,0,0
50,21,0,0,0,0
