totalPopulation: 1000,numberOfPublicPlaces: 200,publicPlaceOccupancyRate: 0.5,seedPopulationPercentage: 0.05,indoorInfectionRate: 0.5
Day #,Category 0,Category 1,Category 2,Category 3,Category 4
0,952,49,0,0,0
1,958,43,0,0,0
2,959,42,0,0,0
3,962,34,5,0,0
4,962,33,6,0,0
5,962,29,10,0,0
6,965,26,10,0,0
7,967,22,12,0,0
8,977,14,10,0,0
9,984,9,8,0,0
10,992,5,4,0,0
11,997,2,2,0,0
12,1000,1,0,0,0
13,1000,1,0,0,0
14,999,2,0,0,0
15,999,2,0,0,0
16,999,2,0,0,0
17,999,2,0,0,0
18,1000,1,0,0,0
19,1000,1,0,0,0
20,1000,1,0,0,0
21,1001,0,0,0,0
22,1001,0,0,0,0
23,1001,0,0,0,0
24,1001,0,0,0,0
25,1000,1,0,0,0
26,1000,1,0,0,0
27,1000,1,0,0,0
28,1000,1,0,0,0
29,1000,1,0,0,0
30,1000,1,0,0,0
31,1000,1,0,0,0
32,1001,0,0,0,0
33,1001,0,0,0,0
34,1001,0,0,0,0
35,1001,0,0,0,0
36,1001,0,0,0,0
37,1001,0,0,0,0
38,1000,1,0,0,0
39,1000,1,0,0,0
40,1000,1,0,0,0
41,1000,1,0,0,0
42,1000,1,0,0,0
43,1000,1,0,0,0
44,1000,1,0,0,0
45,1001,0,0,0,0
46,1001,0,0,0,0
47,1001,0,0,0,0
48,1001,0,0,0,0
49,1001,0,0,0,0
50,1001,0,0,0,0
